개방서비스명,상세영업상태명,도로명전체주소,도로명우편번호,사업장명,좌표정보x,좌표정보y
국제물류주선업,운행,대구광역시 수성구 신천동로 94-7 (상동),42165,GF해운,345196.7551,260471.8227
국제물류주선업,운행,대구광역시 북구 검단공단로 92-16 (검단동),41508,세계실업 주식회사,345780.4673,269365.8899
국제물류주선업,운행,대구광역시 동구 신암남로 63 (신암동),41211,제이비인터내셔널(주),346470.7837,265559.0689
국제물류주선업,운행,대구광역시 동구 장등로 66 (신천동),41256,주식회사제니스해운,346626.4573,264926.0413
국제물류주선업,운행,대구광역시 수성구 범어천로 54 (범어동),42140,주식회사 이맥스글로비즈,346634.211,262506.0536
국제물류주선업,운행,"대구광역시 동구 동대구로 487, 대구빌딩 (신천동)",41256,한성통상주식회사,346671.3043,264957.6826
국제물류주선업,운행,"대구광역시 동구 동대구로 489, 609호 (신천동)",41256,(주)디에이치씨앤에어,346671.5968,264994.2264
국제물류주선업,운행,"대구광역시 동구 동부로22길 48, 유성푸르나임 302호 (신천동)",41242,(주)와이엔케이서비스,346801.105,264796.1704
국제물류주선업,운행,"대구광역시 동구 동부로22길 9, 동대구역아펠리체 1동 603호(신천동)",41243,(주)다올해운항공,346923.5983,265216.8142
국제물류주선업,운행,"대구광역시 동구 동부로22길 9, 동대구역아펠리체 1동 603호(신천동)",41243,(주)다올해운항공,346923.5983,265216.8142
국제물류주선업,운행,"대구광역시 수성구 무학로35길 108, 1층 (지산동)",42184,로지스페어 주식회사,347025.1556,260639.0667
국제물류주선업,운행,경상남도 거제시 장평1로9길 21-4 (장평동),53265,(주)유니온,347135.7712,156069.6547
국제물류주선업,운행,"대구광역시 동구 동부로30길 107, 경동빌딩 7층 (신천동)",41252,(주)엠케이지엘,347181.8032,264330.4301
국제물류주선업,운행,"경상남도 창원시 의창구 평산로147번길 13, 101호(서상동)",51371,하나지엘에스 주식회사,347464.1337,196402.1831
국제물류주선업,운행,"대구광역시 수성구 용학로50길 27, 401호 (지산동)",42212,유한회사 코나로직스,347793.0295,258927.4749
국제물류주선업,운행,"경상남도 창원시 성산구 신촌로 21, 유신종합상가 1층 105호 (신촌동)",51564,주식회사 금도종합물류,348061.0322,191024.3759
국제물류주선업,운행,"경상남도 창원시 성산구 신촌로 21, 유신종합상가 105호 (신촌동)",51564,주식회사 금도종합물류,348061.0322,191024.3759
국제물류주선업,운행,"경상남도 창원시 의창구 도계로83번길 6-10, 103호 (도계동, 청구아트빌라)",51161,화창 주식회사,349173.6748,196561.0167
국제물류주선업,운행,"경상남도 창원시 의창구 우곡로217번길 24, 모비딕 401호 (명서동)",51388,성산 주식회사,350082.2042,194744.594
국제물류주선업,운행,"경상남도 창원시 성산구 상남로 35, 새롬아이포빌 117-1호(상남동)",51505,거모티엔엘,352636.0988,192235.7888
국제물류주선업,운행,"경상남도 창원시 의창구 사림로 47, 사림프라자 504호(사림동)",51143,주식회사 삼원로지스,352648.7735,195530.7084
국제물류주선업,운행,"경상남도 창원시 성산구 상남로 37, 덕산베스트텔 806호(상남동)",51505,(주)기현로지텍,352655.5501,192264.6075
국제물류주선업,운행,"경상남도 창원시 성산구 마디미로 61, 위드빌딩 6층 603호 (상남동)",51503,케이인터내셔널 주식회사,353098.2395,192419.6994
국제물류주선업,운행,"대구광역시 수성구 노변공원로1길 3, 3층 (시지동)",42256,(주)가온국제물류,353473.3709,261538.5674
